,Product_name,Sale_Price,Actual_Price,Rating,No_of_Rating,Offer,Specifications
49,"APPLE iPhone 13 (Starlight, 256 GB)","₹84,900","₹89,900",4.7,"1,920 Ratings & 204 Reviews",5% off,256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year
50,"APPLE iPhone 13 (Blue, 256 GB)","₹84,900","₹89,900",4.7,"1,920 Ratings & 204 Reviews",5% off,256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year
51,"APPLE iPhone 8 Plus (PRODUCT)RED (Red, 256 GB)","₹59,900",Same Price,4.6,270 Ratings & 22 Reviews,No offer,"256 GB ROM13.97 cm (5.5 inch) Retina HD Display12MP + 12MP | 7MP Front CameraA11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor ProcessorBrand Warranty of 1 Year"
52,"APPLE iPhone 12 Pro (Silver, 256 GB)","₹1,14,900","₹1,19,900",4.6,"1,054 Ratings & 70 Reviews",4% off,"256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA14 Bionic Chip with Next Generation Neural Engine ProcessorCeramic Shield | Industry-leading IP68 Water ResistanceAll Screen OLED DisplayLiDAR Scanner for Improved AR Experiences, Night Mode PortraitsBrand Warranty for 1 Year"
53,"APPLE iPhone 13 Pro Max (Silver, 256 GB)","₹1,39,900",Same Price,4.7,652 Ratings & 69 Reviews,No offer,256 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year
54,"APPLE iPhone 8 (Space Grey, 256 GB)","₹77,000",Same Price,4.5,"11,340 Ratings & 799 Reviews",No offer,"256 GB ROM11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 7MP Front CameraA11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor ProcessorBrand Warranty of 1 Year"
55,"APPLE iPhone XS (Space Grey, 512 GB)","₹1,34,900",Same Price,4.7,"11,960 Ratings & 874 Reviews",No offer,512 GB ROM14.73 cm (5.8 inch) Super Retina HD Display12MP + 12MP | 7MP Front CameraA12 Bionic Chip Processor1 Year Limited Warranty for Products and Accessories
56,"APPLE iPhone 8 (Silver, 256 GB)","₹77,000",Same Price,4.5,"11,340 Ratings & 799 Reviews",No offer,"256 GB ROM11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 7MP Front CameraA11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor ProcessorBrand Warranty of 1 Year"
57,"APPLE iPhone 8 Plus (Silver, 64 GB)","₹49,900",Same Price,4.6,"3,443 Ratings & 355 Reviews",No offer,"64 GB ROM13.97 cm (5.5 inch) Retina HD Display12MP + 12MP | 7MP Front CameraA11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor ProcessorBrand Warranty of 1 Year"
58,"APPLE iPhone 8 Plus (Gold, 64 GB)","₹49,900",Same Price,4.6,"3,443 Ratings & 355 Reviews",No offer,"64 GB ROM13.97 cm (5.5 inch) Retina HD Display12MP + 12MP | 7MP Front CameraA11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor ProcessorBrand Warranty of 1 Year"
59,"APPLE iPhone 6s (Space Grey, 32 GB)","₹25,299","₹29,900",4.5,"93,085 Ratings & 9,280 Reviews",15% off,32 GB ROM11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 5MP Front CameraApple A9 64-bit processor and Embedded M9 Motion Co-processorBrand Warranty of 1 Year
60,"APPLE iPhone 13 Pro (Sierra Blue, 128 GB)","₹1,19,900",Same Price,4.7,448 Ratings & 42 Reviews,No offer,128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year
61,"APPLE iPhone 13 (Midnight, 256 GB)","₹84,900","₹89,900",4.7,"1,920 Ratings & 204 Reviews",5% off,256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year
62,"APPLE iPhone 8 (Gold, 64 GB)","₹38,999","₹39,900",4.5,"11,340 Ratings & 799 Reviews",2% off,"64 GB ROM11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 7MP Front CameraA11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor ProcessoriOS 13 CompatibleBrand Warranty of 1 Year"
63,"APPLE iPhone 13 Pro Max (Graphite, 256 GB)","₹1,39,900",Same Price,4.7,652 Ratings & 69 Reviews,No offer,256 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year
